#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# MNO, JLG, JLA, WLG, WLA, FRQ, BVL, MMN, ANO, DEP, STR, DIP
    56,123.002, 24.896,123.000, 24.900,8.47316e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    57,122.301, 24.796,122.300, 24.800,1.92357e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    58,122.401, 24.796,122.400, 24.800,1.80261e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    59,122.501, 24.796,122.500, 24.800,1.63431e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    60,122.601, 24.796,122.600, 24.800,1.44408e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    61,122.701, 24.796,122.700, 24.800,1.26995e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    62,122.802, 24.796,122.800, 24.800,1.13192e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    63,122.902, 24.796,122.900, 24.800,1.02553e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    64,123.002, 24.796,123.000, 24.800,9.42115e-03,  0.900, 5.0,  1, 40.0,270.0, 45.0
    65,122.301, 24.696,122.300, 24.700,2.09019e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    66,122.401, 24.696,122.400, 24.700,1.95960e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    67,122.501, 24.696,122.500, 24.700,1.76847e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    68,122.601, 24.696,122.600, 24.700,1.56093e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    69,122.701, 24.696,122.700, 24.700,1.38694e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    70,122.801, 24.696,122.800, 24.700,1.25513e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    71,122.902, 24.696,122.900, 24.700,1.14343e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    72,123.002, 24.696,123.000, 24.700,1.04077e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    73,122.301, 24.596,122.300, 24.600,1.97954e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    74,122.401, 24.596,122.400, 24.600,1.86839e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    75,122.501, 24.596,122.500, 24.600,1.69515e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    76,122.601, 24.596,122.600, 24.600,1.51206e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    77,122.701, 24.596,122.700, 24.600,1.37307e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    78,122.801, 24.596,122.800, 24.600,1.27738e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    79,122.902, 24.596,122.900, 24.600,1.18958e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    80,123.002, 24.596,123.000, 24.600,1.09492e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    81,122.301, 24.496,122.300, 24.500,1.92139e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    82,122.401, 24.496,122.400, 24.500,1.81738e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    83,122.501, 24.496,122.500, 24.500,1.64570e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    84,122.601, 24.496,122.600, 24.500,1.45866e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    85,122.701, 24.496,122.700, 24.500,1.31882e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    86,122.801, 24.496,122.800, 24.500,1.23445e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    87,122.902, 24.496,122.900, 24.500,1.16828e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    88,123.002, 24.496,123.000, 24.500,1.09583e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    89,122.301, 24.396,122.300, 24.400,2.32942e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    90,122.401, 24.396,122.400, 24.400,2.18791e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    91,122.501, 24.396,122.500, 24.400,1.93589e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    92,122.601, 24.396,122.600, 24.400,1.63610e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    93,122.701, 24.396,122.700, 24.400,1.38930e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    94,122.801, 24.396,122.800, 24.400,1.23975e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    95,122.902, 24.396,122.900, 24.400,1.15339e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    96,123.002, 24.396,123.000, 24.400,1.08560e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    97,122.301, 24.296,122.300, 24.300,3.23023e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    98,122.401, 24.296,122.400, 24.300,3.01875e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
    99,122.501, 24.296,122.500, 24.300,2.60804e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
   100,122.601, 24.296,122.600, 24.300,2.09433e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
   101,122.701, 24.296,122.700, 24.300,1.65176e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
   102,122.801, 24.296,122.800, 24.300,1.37482e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
   103,122.902, 24.296,122.900, 24.300,1.22439e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
   104,123.002, 24.296,123.000, 24.300,1.12745e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
   105,122.301, 24.196,122.300, 24.200,4.13971e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
   106,122.401, 24.196,122.400, 24.200,3.87439e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
   107,122.501, 24.196,122.500, 24.200,3.32232e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
   108,122.601, 24.196,122.600, 24.200,2.62301e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
   109,122.701, 24.196,122.700, 24.200,2.02062e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
   110,122.801, 24.196,122.800, 24.200,1.63997e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
   111,122.902, 24.196,122.900, 24.200,1.42330e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
   112,123.002, 24.196,123.000, 24.200,1.27520e-02,  0.900, 5.0,  1, 40.0,270.0, 45.0
