#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
141.7538,  43.1476, 141.7500,  43.1500
141.7208,  42.9976, 141.7170,  43.0000
142.0367,  42.1304, 142.0330,  42.1330
142.7538,  41.5974, 142.7500,  41.6000
143.6538,  41.3973, 143.6500,  41.4000
143.7209,  42.1474, 143.7170,  42.1500
144.3210,  42.5474, 144.3170,  42.5500
143.8209,  42.7975, 143.8170,  42.8000
143.6870,  43.2975, 143.6830,  43.3000
142.3868,  43.1646, 142.3830,  43.1670
141.7538,  43.1476, 141.7500,  43.1500
