#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
131.9695,  33.2967, 131.9670,  33.3000
132.2855,  32.8136, 132.2830,  32.8170
132.5525,  32.6636, 132.5500,  32.6670
133.0526,  32.6966, 133.0500,  32.7000
133.5026,  33.1466, 133.5000,  33.1500
133.8856,  33.2296, 133.8830,  33.2330
134.1857,  33.1966, 134.1830,  33.2000
134.6197,  33.6637, 134.6170,  33.6670
134.7857,  33.6797, 134.7830,  33.6830
135.1358,  33.6967, 135.1330,  33.7000
135.3028,  33.5636, 135.3000,  33.5670
135.8698,  33.3966, 135.8670,  33.4000
136.4029,  34.0297, 136.4000,  34.0330
137.3200,  34.3637, 137.3170,  34.3670
137.8200,  34.5637, 137.8170,  34.5670
138.2531,  34.5637, 138.2500,  34.5670
138.6531,  35.0797, 138.6500,  35.0830
138.5861,  35.2137, 138.5830,  35.2170
138.4361,  35.3968, 138.4330,  35.4000
137.7360,  34.9797, 137.7330,  34.9830
136.9530,  34.5637, 136.9500,  34.5670
136.6029,  34.4797, 136.6000,  34.4830
135.7358,  34.4297, 135.7330,  34.4330
135.6028,  34.3467, 135.6000,  34.3500
134.4857,  34.1467, 134.4830,  34.1500
133.2856,  33.9637, 133.2830,  33.9670
132.5355,  33.6797, 132.5330,  33.6830
131.9695,  33.2967, 131.9670,  33.3000
