#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
141.9867,  41.5474, 141.9830,  41.5500
141.9536,  40.0642, 141.9500,  40.0670
141.7866,  39.7302, 141.7830,  39.7330
142.0036,  39.3971, 142.0000,  39.4000
141.9036,  38.8971, 141.9000,  38.9000
141.5365,  38.2800, 141.5330,  38.2830
141.8535,  38.0140, 141.8500,  38.0170
141.5365,  37.7139, 141.5330,  37.7170
140.8534,  36.9969, 140.8500,  37.0000
140.6033,  36.6138, 140.6000,  36.6170
140.4533,  36.0968, 140.4500,  36.1000
140.3863,  35.8138, 140.3830,  35.8170
140.2533,  35.2797, 140.2500,  35.2830
140.2202,  34.8137, 140.2170,  34.8170
140.2362,  34.4966, 140.2330,  34.5000
138.7701,  34.7137, 138.7670,  34.7170
138.4701,  35.3468, 138.4670,  35.3500
138.4531,  36.2139, 138.4500,  36.2170
139.1533,  37.5470, 139.1500,  37.5500
139.5863,  38.3141, 139.5830,  38.3170
139.9534,  39.1802, 139.9500,  39.1830
140.1034,  39.7642, 140.1000,  39.7670
140.4536,  42.0975, 140.4500,  42.1000
140.7537,  42.5145, 140.7500,  42.5170
142.1538,  41.9974, 142.1500,  42.0000
141.9867,  41.5474, 141.9830,  41.5500
