#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
132.5695,  30.8794, 132.5670,  30.8830
131.4024,  31.2795, 131.4000,  31.2830
131.0353,  31.0794, 131.0330,  31.0830
130.2692,  29.9463, 130.2670,  29.9500
129.7022,  29.2793, 129.7000,  29.2830
129.8022,  28.8462, 129.8000,  28.8500
129.2021,  28.1132, 129.2000,  28.1170
128.4020,  27.2961, 128.4000,  27.3000
125.5687,  25.0789, 125.5670,  25.0830
124.1846,  24.6459, 124.1830,  24.6500
123.0015,  24.4628, 123.0000,  24.4670
123.0015,  23.2957, 123.0000,  23.3000
124.0016,  23.2457, 124.0000,  23.2500
125.0017,  23.3287, 125.0000,  23.3330
126.0188,  23.6287, 126.0170,  23.6330
127.9189,  24.9628, 127.9170,  24.9670
129.8191,  26.8130, 129.8170,  26.8170
130.8522,  28.0291, 130.8500,  28.0330
131.8694,  29.4633, 131.8670,  29.4670
132.5695,  30.8794, 132.5670,  30.8830
