#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# JLON, JLAT, WLON, WLAT
151.5049,  46.2976, 151.5000,  46.3000
151.0549,  46.7147, 151.0500,  46.7170
147.8715,  45.0976, 147.8670,  45.1000
145.9372,  44.1976, 145.9330,  44.2000
144.5371,  43.6645, 144.5330,  43.6670
143.7540,  43.4975, 143.7500,  43.5000
142.4039,  43.4146, 142.4000,  43.4170
141.4037,  43.0806, 141.4000,  43.0830
140.7537,  42.5145, 140.7500,  42.5170
142.1538,  41.9974, 142.1500,  42.0000
142.9039,  42.5475, 142.9000,  42.5500
144.2040,  42.7974, 144.2000,  42.8000
145.1041,  43.1475, 145.1000,  43.1500
146.3872,  43.7645, 146.3830,  43.7670
148.3215,  44.7145, 148.3170,  44.7170
151.5049,  46.2976, 151.5000,  46.3000
