Code,Code1,Zone,Mesh ID,Process,Magnitude,Shape
CYNG_INTER_1_25,CYNG_INTER,1,25.0,FRQ(0.00791385),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 25.2)
CYNG_INTER_1_26,CYNG_INTER,1,26.0,FRQ(0.00790688),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 25.2)
CYNG_INTER_1_27,CYNG_INTER,1,27.0,FRQ(0.00787317),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 25.2)
CYNG_INTER_1_28,CYNG_INTER,1,28.0,FRQ(0.00780347),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 25.2)
CYNG_INTER_1_29,CYNG_INTER,1,29.0,FRQ(0.00771525),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 25.2)
CYNG_INTER_1_44,CYNG_INTER,1,44.0,FRQ(0.00981718),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 25)
CYNG_INTER_1_45,CYNG_INTER,1,45.0,FRQ(0.00911079),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 25)
CYNG_INTER_1_48,CYNG_INTER,1,48.0,FRQ(0.00789375),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 25)
CYNG_INTER_1_49,CYNG_INTER,1,49.0,FRQ(0.0152196),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 24.9)
CYNG_INTER_1_168,CYNG_INTER,1,168.0,FRQ(0.00836103),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 23.5)
CYNG_INTER_1_169,CYNG_INTER,1,169.0,FRQ(0.0082469),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 23.4)
CYNG_INTER_1_164,CYNG_INTER,1,164.0,FRQ(0.00870905),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 23.5)
CYNG_INTER_1_165,CYNG_INTER,1,165.0,FRQ(0.00882588),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 23.5)
CYNG_INTER_1_166,CYNG_INTER,1,166.0,FRQ(0.00882239),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 23.5)
CYNG_INTER_1_167,CYNG_INTER,1,167.0,FRQ(0.00863491),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 23.5)
CYNG_INTER_1_160,CYNG_INTER,1,160.0,FRQ(0.00925182),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 23.6)
CYNG_INTER_1_161,CYNG_INTER,1,161.0,FRQ(0.0090413),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 23.5)
CYNG_INTER_1_162,CYNG_INTER,1,162.0,FRQ(0.00879495),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 23.5)
CYNG_INTER_1_163,CYNG_INTER,1,163.0,FRQ(0.0086651),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 23.5)
CYNG_INTER_1_59,CYNG_INTER,1,59.0,FRQ(0.0163431),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 24.8)
CYNG_INTER_1_58,CYNG_INTER,1,58.0,FRQ(0.0180261),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 24.8)
CYNG_INTER_1_51,CYNG_INTER,1,51.0,FRQ(0.0133624),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 24.9)
CYNG_INTER_1_50,CYNG_INTER,1,50.0,FRQ(0.0144394),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 24.9)
CYNG_INTER_1_53,CYNG_INTER,1,53.0,FRQ(0.0107788),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 24.9)
CYNG_INTER_1_52,CYNG_INTER,1,52.0,FRQ(0.0120654),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 24.9)
CYNG_INTER_1_55,CYNG_INTER,1,55.0,FRQ(0.00898136),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 24.9)
CYNG_INTER_1_54,CYNG_INTER,1,54.0,FRQ(0.00973004),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 24.9)
CYNG_INTER_1_133,CYNG_INTER,1,133.0,FRQ(0.0210966),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 23.9)
CYNG_INTER_1_132,CYNG_INTER,1,132.0,FRQ(0.0229391),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 23.9)
CYNG_INTER_1_131,CYNG_INTER,1,131.0,FRQ(0.0252943),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 23.9)
CYNG_INTER_1_130,CYNG_INTER,1,130.0,FRQ(0.0274071),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 23.9)
CYNG_INTER_1_137,CYNG_INTER,1,137.0,FRQ(0.0191946),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 23.8)
CYNG_INTER_1_136,CYNG_INTER,1,136.0,FRQ(0.0155147),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 23.9)
CYNG_INTER_1_135,CYNG_INTER,1,135.0,FRQ(0.0176653),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 23.9)
CYNG_INTER_1_134,CYNG_INTER,1,134.0,FRQ(0.0195285),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 23.9)
CYNG_INTER_1_139,CYNG_INTER,1,139.0,FRQ(0.0179033),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 23.8)
CYNG_INTER_1_138,CYNG_INTER,1,138.0,FRQ(0.0186691),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 23.8)
CYNG_INTER_1_79,CYNG_INTER,1,79.0,FRQ(0.0118958),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 24.6)
CYNG_INTER_1_57,CYNG_INTER,1,57.0,FRQ(0.0192357),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 24.8)
CYNG_INTER_1_82,CYNG_INTER,1,82.0,FRQ(0.0181738),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 24.5)
CYNG_INTER_1_83,CYNG_INTER,1,83.0,FRQ(0.016457),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 24.5)
CYNG_INTER_1_80,CYNG_INTER,1,80.0,FRQ(0.0109492),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 24.6)
CYNG_INTER_1_81,CYNG_INTER,1,81.0,FRQ(0.0192139),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 24.5)
CYNG_INTER_1_86,CYNG_INTER,1,86.0,FRQ(0.0123445),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 24.5)
CYNG_INTER_1_87,CYNG_INTER,1,87.0,FRQ(0.0116828),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 24.5)
CYNG_INTER_1_84,CYNG_INTER,1,84.0,FRQ(0.0145866),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 24.5)
CYNG_INTER_1_85,CYNG_INTER,1,85.0,FRQ(0.0131882),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 24.5)
CYNG_INTER_1_88,CYNG_INTER,1,88.0,FRQ(0.0109583),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 24.5)
CYNG_INTER_1_89,CYNG_INTER,1,89.0,FRQ(0.0232942),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 24.4)
CYNG_INTER_1_142,CYNG_INTER,1,142.0,FRQ(0.0162516),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 23.8)
CYNG_INTER_1_143,CYNG_INTER,1,143.0,FRQ(0.0148838),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 23.8)
CYNG_INTER_1_140,CYNG_INTER,1,140.0,FRQ(0.0173312),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 23.8)
CYNG_INTER_1_141,CYNG_INTER,1,141.0,FRQ(0.0169647),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 23.8)
CYNG_INTER_1_146,CYNG_INTER,1,146.0,FRQ(0.0131352),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 23.7)
CYNG_INTER_1_147,CYNG_INTER,1,147.0,FRQ(0.0128589),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 23.7)
CYNG_INTER_1_144,CYNG_INTER,1,144.0,FRQ(0.0131752),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 23.8)
CYNG_INTER_1_145,CYNG_INTER,1,145.0,FRQ(0.0135502),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 23.7)
CYNG_INTER_1_148,CYNG_INTER,1,148.0,FRQ(0.0129208),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 23.7)
CYNG_INTER_1_149,CYNG_INTER,1,149.0,FRQ(0.0130859),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 23.7)
CYNG_INTER_1_62,CYNG_INTER,1,62.0,FRQ(0.0113192),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 24.8)
CYNG_INTER_1_33,CYNG_INTER,1,33.0,FRQ(0.00890364),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 25.1)
CYNG_INTER_1_32,CYNG_INTER,1,32.0,FRQ(0.00757171),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 25.2)
CYNG_INTER_1_31,CYNG_INTER,1,31.0,FRQ(0.00759438),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 25.2)
CYNG_INTER_1_30,CYNG_INTER,1,30.0,FRQ(0.00764039),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 25.2)
CYNG_INTER_1_37,CYNG_INTER,1,37.0,FRQ(0.0081323),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 25.1)
CYNG_INTER_1_36,CYNG_INTER,1,36.0,FRQ(0.00842189),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 25.1)
CYNG_INTER_1_35,CYNG_INTER,1,35.0,FRQ(0.00866922),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 25.1)
CYNG_INTER_1_34,CYNG_INTER,1,34.0,FRQ(0.00882352),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 25.1)
CYNG_INTER_1_39,CYNG_INTER,1,39.0,FRQ(0.00773252),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 25.1)
CYNG_INTER_1_38,CYNG_INTER,1,38.0,FRQ(0.00788838),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 25.1)
CYNG_INTER_1_119,CYNG_INTER,1,119.0,FRQ(0.0169515),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 24.1)
CYNG_INTER_1_118,CYNG_INTER,1,118.0,FRQ(0.019389),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 24.1)
CYNG_INTER_1_111,CYNG_INTER,1,111.0,FRQ(0.014233),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 24.2)
CYNG_INTER_1_110,CYNG_INTER,1,110.0,FRQ(0.0163997),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 24.2)
CYNG_INTER_1_113,CYNG_INTER,1,113.0,FRQ(0.0442884),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 24.1)
CYNG_INTER_1_112,CYNG_INTER,1,112.0,FRQ(0.012752),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 24.2)
CYNG_INTER_1_115,CYNG_INTER,1,115.0,FRQ(0.0361298),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 24.1)
CYNG_INTER_1_114,CYNG_INTER,1,114.0,FRQ(0.0417223),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 24.1)
CYNG_INTER_1_117,CYNG_INTER,1,117.0,FRQ(0.0231822),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 24.1)
CYNG_INTER_1_116,CYNG_INTER,1,116.0,FRQ(0.0291097),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 24.1)
