Code,Code1,Zone,Mesh ID,Process,Magnitude,Shape
CJPS_CRUST_1_1131,CJPS_CRUST,1,1131.0,FRQ(0.000587009),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.3 38.4)
CJPS_CRUST_1_1130,CJPS_CRUST,1,1130.0,FRQ(0.000589308),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.2 38.4)
CJPS_CRUST_1_1133,CJPS_CRUST,1,1133.0,FRQ(0.000642218),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.5 38.4)
CJPS_CRUST_1_1132,CJPS_CRUST,1,1132.0,FRQ(0.000607132),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.4 38.4)
CJPS_CRUST_1_1135,CJPS_CRUST,1,1135.0,FRQ(0.000676518),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.7 38.4)
CJPS_CRUST_1_1134,CJPS_CRUST,1,1134.0,FRQ(0.000671333),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.6 38.4)
CJPS_CRUST_1_1137,CJPS_CRUST,1,1137.0,FRQ(0.000629956),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.9 38.4)
CJPS_CRUST_1_1136,CJPS_CRUST,1,1136.0,FRQ(0.000657288),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.8 38.4)
CJPS_CRUST_1_1139,CJPS_CRUST,1,1139.0,FRQ(0.000601121),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.1 38.4)
CJPS_CRUST_1_1138,CJPS_CRUST,1,1138.0,FRQ(0.000611032),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139 38.4)
CJPS_CRUST_1_588,CJPS_CRUST,1,588.0,FRQ(0.000798089),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.4 41.7)
CJPS_CRUST_1_589,CJPS_CRUST,1,589.0,FRQ(0.00074698),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.5 41.7)
CJPS_CRUST_1_584,CJPS_CRUST,1,584.0,FRQ(0.000727734),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139 41.7)
CJPS_CRUST_1_585,CJPS_CRUST,1,585.0,FRQ(0.000778254),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.1 41.7)
CJPS_CRUST_1_586,CJPS_CRUST,1,586.0,FRQ(0.000818168),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.2 41.7)
CJPS_CRUST_1_587,CJPS_CRUST,1,587.0,FRQ(0.00082675),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.3 41.7)
CJPS_CRUST_1_580,CJPS_CRUST,1,580.0,FRQ(0.000624828),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.6 41.7)
CJPS_CRUST_1_581,CJPS_CRUST,1,581.0,FRQ(0.00064033),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.7 41.7)
CJPS_CRUST_1_582,CJPS_CRUST,1,582.0,FRQ(0.000658073),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.8 41.7)
CJPS_CRUST_1_583,CJPS_CRUST,1,583.0,FRQ(0.000685603),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.9 41.7)
CJPS_CRUST_1_931,CJPS_CRUST,1,931.0,FRQ(0.000553),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.8 39.6)
CJPS_CRUST_1_930,CJPS_CRUST,1,930.0,FRQ(0.000558104),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.7 39.6)
