bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode,Complete_prob_High_residential,Complete_prob_Low_residential,Complete_prob_Moderate_residential,Complete_prob_Precode_residential,Extensive_prob_High_residential,Extensive_prob_Low_residential,Extensive_prob_Moderate_residential,Extensive_prob_Precode_residential,Moderate_prob_High_residential,Moderate_prob_Low_residential,Moderate_prob_Moderate_residential,Moderate_prob_Precode_residential,Slight_prob_High_residential,Slight_prob_Low_residential,Slight_prob_Moderate_residential,Slight_prob_Precode_residential,Collapse_prob_High_residential,Collapse_prob_Low_residential,Collapse_prob_Moderate_residential,Collapse_prob_Precode_residential,Fatality_rate_High_residential,Fatality_rate_Low_residential,Fatality_rate_Moderate_residential,Fatality_rate_Precode_residential,Proba,Mag,Code
2.72801201646e+12,66483435.6614,24091615.2753,32863185.68,21403695.5879,13296687.1323,1057.55536012,4519.76656475,21058.869608,61196.6979179,74.2646909529,11059.0515623,24805.8474959,59631.3552704,101762.417674,712.391488405,4534.04358973,13308.5896951,37202.2344756,76403.8174243,298.590936896,16415.5059364,34655.950021,74206.1649388,116338.091963,998.420555054,18.3790688762,176.705744752,72.8274613062,244.16073042,21.6640431531,242.038832049,92.9464941664,346.609410858,13.9877901918,154.303531087,59.8217907722,221.144707281,0.000101545792111,0.00106853442133,0.000422703996618,0.00155429203963,0.000532032392934,0.00236802315339,0.00126464179639,0.00322794063005,0.00232082620505,0.00523284497977,0.00358609932146,0.0065740445254,0.00562575678264,0.0083146013033,0.00665615247439,0.0096696278211,7.20341204036e-06,7.37820426539e-05,2.9521969393e-05,0.000104238026325,7.08441444116e-07,7.27299289673e-06,2.9101266639e-06,1.02368149354e-05,7.9535251871e-05,0.000831714806275,0.000340990469628,0.0012345560795,0.000339916741651,0.00186556600521,0.00100089515251,0.0026063597403,0.00158376815206,0.00448467762512,0.00279785739903,0.0055808010071,0.0046024018847,0.00765321592224,0.00574607920486,0.00874940432951,5.58520255566e-06,5.3576615086e-05,2.24560399087e-05,7.508791815e-05,5.27599913394e-07,5.11397134867e-06,2.14407112733e-06,7.11426476618e-06,0.0,6.48,F007402
2.72801201646e+12,66483435.6614,24091615.2753,32863185.68,21403695.5879,13296687.1323,1250.74666994,5281.22135629,24385.4452205,70691.0221317,86.4595531853,12826.5727057,28745.9630173,69015.5430258,117741.46573,814.847364669,5293.15808314,15431.1200458,43010.8443971,88355.9344285,342.943969482,19020.6593564,40171.1176558,85964.7987201,134747.986468,1144.1242696,21.3105307352,201.305834365,83.2802641171,278.696685689,25.5858726113,279.988084,108.264783073,400.360251444,16.4981007429,178.458688645,69.6397335768,255.527832771,0.000119841809472,0.00123664223977,0.000492418214588,0.00179767113509,0.00061825790828,0.00274032732815,0.0014631488424,0.00373905588483,0.00268497519338,0.00606202109262,0.00414912222677,0.00762548020737,0.00651093707886,0.00963232764008,0.00770952222255,0.0112149974955,8.4289525088e-06,8.4760314705e-05,3.40860392127e-05,0.000119819128051,8.27958636034e-07,8.34834467222e-06,3.35672975146e-06,1.17581168011e-05,9.40645333305e-05,0.000964644243948,0.000398080967875,0.00143048107902,0.000397183246004,0.00216188910301,0.0011605236622,0.00302113731459,0.00183394893615,0.00519043144651,0.00323470380022,0.00646512908553,0.00531643870601,0.00885494744355,0.00664495851858,0.0101339517978,6.50233793765e-06,6.12819837425e-05,2.57916852574e-05,8.60458141357e-05,6.12939451305e-07,5.84079619874e-06,2.45820581119e-06,8.14206871192e-06,0.0,6.58,F007402
2.72801201646e+12,66483435.6614,24091615.2753,32863185.68,21403695.5879,13296687.1323,1450.13034913,6087.04930549,28350.265445,84467.9864747,98.8236048249,14809.6334465,33766.4451661,83073.8238608,144597.517705,928.97749381,6096.13404927,17862.0224447,50665.4338508,106947.273328,388.539137896,22082.1116547,47708.6131462,104787.804049,167257.7067,1317.56670585,24.2756206173,228.922128735,93.9986540316,320.471510597,29.6746148849,324.533543789,124.838654093,466.708490332,19.1063278528,206.674625098,80.2144354507,297.864483264,0.000138786761975,0.00142961757913,0.000566804553637,0.00209197942461,0.000712091123543,0.0032328007968,0.00169590798495,0.00446674088614,0.00316469449105,0.007366830398,0.00495303954857,0.00940582967868,0.00791118825786,0.011932959194,0.00945348201905,0.0140684307186,9.68593451631e-06,9.73266483042e-05,3.88885997031e-05,0.000138790681852,9.50449424945e-07,9.58104460921e-06,3.82649815468e-06,1.36156476219e-05,0.000109059522474,0.0011137837041,0.000458470142873,0.00166072281276,0.000457786909246,0.00253946301287,0.00134334381693,0.00358800749928,0.00213212999321,0.00624770839792,0.00381038023583,0.0078807452568,0.00635255877155,0.0108747025681,0.00804315182152,0.0125789006717,7.43219749715e-06,6.98653344678e-05,2.92207475464e-05,9.90898479254e-05,6.99247401199e-07,6.65195534178e-06,2.78051834572e-06,9.37163029672e-06,0.0,6.68,F007402
2.72801201646e+12,66483435.6614,24091615.2753,32863185.68,21403695.5879,13296687.1323,1695.62519382,7096.58691989,34353.7225824,118958.856748,114.22378786,17635.2885174,43634.7092314,121579.821454,236472.906014,1118.36792248,7107.34906335,21400.6827115,65818.202607,161651.673685,448.687145097,26891.1167298,65027.448936,163809.625477,287918.771657,1653.67803337,27.9807999268,276.460478696,108.315994408,406.71538428,34.6902200388,390.252090586,145.776180651,577.702660974,22.3124199789,248.784670873,93.6264864684,369.756282632,0.000162101168464,0.00171454951844,0.000661033494481,0.0025839597246,0.000834918288919,0.00428101211005,0.00205290977553,0.00629707044561,0.00416102343551,0.0113417178384,0.00695173978904,0.0155943991662,0.0122011837631,0.0203204915165,0.0152660774163,0.025373610067,1.12420731681e-05,0.000117244917713,4.5112686582e-05,0.000173811338245,1.10228242569e-06,1.15524759988e-05,4.43736319235e-06,1.70885993837e-05,0.000127522380345,0.00132629190579,0.000534520290103,0.00202239222915,0.000533710904776,0.00328162261753,0.00160947478862,0.00489050003878,0.00258363021109,0.00914361752253,0.00494997001525,0.0123195818513,0.00894650340829,0.0177843476094,0.0121572894118,0.0216534215472,8.5903944888e-06,8.4108764187e-05,3.37442808599e-05,0.000124367672708,8.0695117588e-07,8.02314239016e-06,3.20841155178e-06,1.18161655089e-05,0.0,6.77,F007402
